ArrayID	c Tissue
GSM211057	polymorphonuclear leukocytes, control, 360min, Patient7
GSM211085	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 180min, Patient15
GSM211104	peripheral blood mononuclear cells, control, 0min, Patient4
GSM211121	peripheral blood mononuclear cells, treated with IgG-coated latex beads, 180min, Patient4
GSM211069	polymorphonuclear leukocytes, control, 180min, Patient11
GSM211133	peripheral blood mononuclear cells, treated with IgG-coated latex beads, 180min, Patient17
GSM211083	polymorphonuclear leukocytes, control, 0min, Patient17
GSM211090	polymorphonuclear leukocytes, control, 180min, Patient16
GSM211066	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 180min, Patient12
GSM211096	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient18
GSM211062	polymorphonuclear leukocytes, control, 0min, Patient12
GSM211137	peripheral blood mononuclear cells, control, 180min, Patient3
GSM211025	polymorphonuclear leukocytes, control, 180min, Patient5
GSM211082	polymorphonuclear leukocytes, control, 0min, Patient16
GSM211079	polymorphonuclear leukocytes, control, 360min, Patient13
GSM211028	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient3
GSM211074	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient12
GSM211127	peripheral blood mononuclear cells, treated with IgG-coated latex beads, 180min, Patient10
GSM211109	peripheral blood mononuclear cells, control, 0min, Patient9
GSM211114	peripheral blood mononuclear cells, control, 0min, Patient15
GSM211115	peripheral blood mononuclear cells, control, 0min, Patient16
GSM211065	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 180min, Patient11
GSM211068	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 180min, Patient14
GSM211071	polymorphonuclear leukocytes, control, 180min, Patient13
GSM211132	peripheral blood mononuclear cells, treated with IgG-coated latex beads, 180min, Patient16
GSM211018	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 180min, Patient3
GSM211021	polymorphonuclear leukocytes, control, 180min, Patient1
GSM211043	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 180min, Patient8
GSM211120	peripheral blood mononuclear cells, treated with IgG-coated latex beads, 180min, Patient3
GSM211144	peripheral blood mononuclear cells, control, 180min, Patient10
GSM211032	polymorphonuclear leukocytes, control, 360min, Patient2
GSM211011	polymorphonuclear leukocytes, control, 0min, Patient1
GSM211089	polymorphonuclear leukocytes, control, 180min, Patient15
GSM211029	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient4
GSM211072	polymorphonuclear leukocytes, control, 180min, Patient14
GSM211098	polymorphonuclear leukocytes, control, 360min, Patient16
GSM211111	peripheral blood mononuclear cells, control, 0min, Patient12
GSM211070	polymorphonuclear leukocytes, control, 180min, Patient12
GSM211061	polymorphonuclear leukocytes, control, 0min, Patient11
GSM211013	polymorphonuclear leukocytes, control, 0min, Patient3
GSM211033	polymorphonuclear leukocytes, control, 360min, Patient3
GSM211080	polymorphonuclear leukocytes, control, 360min, Patient14
GSM211022	polymorphonuclear leukocytes, control, 180min, Patient2
GSM211034	polymorphonuclear leukocytes, control, 360min, Patient4
GSM211140	peripheral blood mononuclear cells, control, 180min, Patient6
GSM211037	polymorphonuclear leukocytes, control, 0min, Patient7
GSM211138	peripheral blood mononuclear cells, control, 180min, Patient4
GSM211055	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient10
GSM211017	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 180min, Patient2
GSM211126	peripheral blood mononuclear cells, treated with IgG-coated latex beads, 180min, Patient9
GSM211031	polymorphonuclear leukocytes, control, 360min, Patient1
GSM211026	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient1
GSM211134	peripheral blood mononuclear cells, treated with IgG-coated latex beads, 180min, Patient18
GSM211046	polymorphonuclear leukocytes, control, 180min, Patient6
GSM211054	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient9
GSM211041	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 180min, Patient6
GSM211125	peripheral blood mononuclear cells, treated with IgG-coated latex beads, 180min, Patient8
GSM211050	polymorphonuclear leukocytes, control, 180min, Patient10
GSM211097	polymorphonuclear leukocytes, control, 360min, Patient15
GSM211095	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient17
GSM211143	peripheral blood mononuclear cells, control, 180min, Patient9
GSM211075	polymorphonuclear leukocytes, treated with IgG-coated latex beads, 360min, Patient13
GSM211103	peripheral blood mononuclear cells, control, 0min, Patient3
GSM211047	polymorphonuclear leukocytes, control, 180min, Patient7
GSM339421	MCF-7 cells, luciferase knockdown, no E2 treatment
GSM339423	MCF-7 cells, NMNAT1 knockdown, E2 treatment 3 hours
GSM339424	MCF-7 cells, NMNAT1 knockdown, no E2 treatment
GSM339422	MCF-7 cells, luciferase knockdown, E2 treatment 3 hours
GSM138625	HepG2 cells
GSM138623	HePG2 cells
GSM138632	HepG2 cells
GSM138626	HepG2 cells
GSM138630	HepG2 cells
GSM138627	HepG2 cells
GSM138622	HePG2
GSM138633	HepG2 cells
GSM138631	HepG2 cells
GSM138628	HepG2 cells
GSM138624	HePG2 cells
GSM138629	HepG2 cells
GSM286675	Nasal Epithelium
GSM286648	Nasal Epithelium
GSM286701	Nasal Epithelium
GSM286723	Nasal Epithelium
GSM286686	Nasal Epithelium
GSM286662	Nasal Epithelium
GSM286679	Nasal Epithelium
GSM286737	Nasal Epithelium
GSM286710	Nasal Epithelium
GSM286678	Nasal Epithelium
GSM286688	Nasal Epithelium
GSM286649	Nasal Epithelium
GSM286726	Nasal Epithelium
GSM286734	Nasal Epithelium
GSM286738	Nasal Epithelium
GSM286728	Nasal Epithelium
GSM286667	Nasal Epithelium
GSM286660	Nasal Epithelium
GSM286720	Nasal Epithelium
GSM286680	Nasal Epithelium
GSM286711	Nasal Epithelium
GSM286703	Nasal Epithelium
GSM286714	Nasal Epithelium
GSM286677	Nasal Epithelium
GSM286671	Nasal Epithelium
GSM286730	Nasal Epithelium
GSM286732	Nasal Epithelium
GSM286657	Nasal Epithelium
GSM286676	Nasal Epithelium
GSM286717	Nasal Epithelium
GSM286663	Nasal Epithelium
GSM286684	Nasal Epithelium
GSM286704	Nasal Epithelium
GSM286669	Nasal Epithelium
GSM286681	Nasal Epithelium
GSM286690	Nasal Epithelium
GSM286658	Nasal Epithelium
GSM286700	Nasal Epithelium
GSM286709	Nasal Epithelium
GSM286685	Nasal Epithelium
GSM286664	Nasal Epithelium
GSM286705	Nasal Epithelium
GSM286702	Nasal Epithelium
GSM286698	Nasal Epithelium
GSM286655	Nasal Epithelium
GSM286653	Nasal Epithelium
GSM286694	Nasal Epithelium
GSM286708	Nasal Epithelium
GSM286722	Nasal Epithelium
GSM286721	Nasal Epithelium
GSM286718	Nasal Epithelium
GSM286673	Nasal Epithelium
GSM286687	Nasal Epithelium
GSM286725	Nasal Epithelium
GSM286670	Nasal Epithelium
GSM286692	Nasal Epithelium
GSM286650	Nasal Epithelium
GSM286736	Nasal Epithelium
GSM286682	Nasal Epithelium
GSM286733	Nasal Epithelium
GSM286697	Nasal Epithelium
GSM286652	Nasal Epithelium
GSM286699	Nasal Epithelium
GSM286712	Nasal Epithelium
GSM286689	Nasal Epithelium
GSM286646	Nasal Epithelium
GSM286647	Nasal Epithelium
GSM286654	Nasal Epithelium
GSM286707	Nasal Epithelium
GSM286683	Nasal Epithelium
GSM286665	Nasal Epithelium
GSM286719	Nasal Epithelium
GSM286666	Nasal Epithelium
GSM286656	Nasal Epithelium
GSM286713	Nasal Epithelium
GSM286696	Nasal Epithelium
GSM286693	Nasal Epithelium
GSM286735	Nasal Epithelium
GSM286661	Nasal Epithelium
GSM286706	Nasal Epithelium
GSM286691	Nasal Epithelium
GSM286731	Nasal Epithelium
GSM286715	Nasal Epithelium
GSM286659	Nasal Epithelium
GSM286695	Nasal Epithelium
GSM286724	Nasal Epithelium
GSM286674	Nasal Epithelium
GSM286672	Nasal Epithelium
GSM286651	Nasal Epithelium
GSM286727	Nasal Epithelium
GSM286716	Nasal Epithelium
GSM286729	Nasal Epithelium
GSM286668	Nasal Epithelium
GSM492663_Astrocytomas_T4-2	Glioblastoma multiforme (GBM) glioblastomas (WHO grade Ⅳ)
GSM492656_Astrocytomas_T2-5	diffusely infiltrating astrocytic gliomas (WHO grade Ⅱ)
GSM492658_Astrocytomas_T3-2	anaplastic astrocytomas (WHO grade Ⅲ)
GSM492666_Astrocytomas_T4-5	Glioblastoma multiforme (GBM) glioblastomas (WHO grade Ⅳ)
GSM492662_Astrocytomas_T4-1	Glioblastoma multiforme (GBM) glioblastomas (WHO grade Ⅳ)
GSM492654_Astrocytomas_T2-3	diffusely infiltrating astrocytic gliomas (WHO grade Ⅱ)
GSM492649_Astrocytomas_N	pooled normal brain tissue
GSM492661_Astrocytomas_T3-5	anaplastic astrocytomas (WHO grade Ⅲ)
GSM492651_Astrocytomas_T1-2	Apilocytic astrocytoma (WHO grade Ⅰ), juvenile pilocytic astrocytoma, or cystic cerebellar astrocytoma
GSM492653_Astrocytomas_T2-2	diffusely infiltrating astrocytic gliomas (WHO grade Ⅱ)
GSM492659_Astrocytomas_T3-3	anaplastic astrocytomas (WHO grade Ⅲ)
GSM492664_Astrocytomas_T4-3	Glioblastoma multiforme (GBM) glioblastomas (WHO grade Ⅳ)
GSM492655_Astrocytomas_T2-4	diffusely infiltrating astrocytic gliomas (WHO grade Ⅱ)
GSM492660_Astrocytomas_T3-4	anaplastic astrocytomas (WHO grade Ⅲ)
GSM492652_Astrocytomas_T2-1	diffusely infiltrating astrocytic gliomas (WHO grade Ⅱ)
GSM492657_Astrocytomas_T3-1	anaplastic astrocytomas (WHO grade Ⅲ)
GSM492650_Astrocytomas_T1-1	Apilocytic astrocytoma (WHO grade Ⅰ), juvenile pilocytic astrocytoma, or cystic cerebellar astrocytoma
GSM492665_Astrocytomas_T4-4	Glioblastoma multiforme (GBM) glioblastomas (WHO grade Ⅳ)
GSM386398	HCT116 cells treated at the IC50 for 1 hours, replicate b
GSM386428	HCT116 cells treated at the IC90 for 2 hours, replicate f
GSM386455	HCT116 cells treated with vehicle (DMSO) for 6 hours, replicate a
GSM386386	HCT116 cells treated at 3xIC90 for 1 hours, replicate c
GSM386450	HCT116 cells treated with vehicle (DMSO) for 2 hours, replicate e
GSM386408	HCT116 cells treated at the IC50 for 2 hours, replicate e
GSM386403	HCT116 cells treated at the IC50 for 24 hours, replicate d
GSM386443	HCT116 cells treated with vehicle (DMSO) for 24 hours, replicate b
GSM386421	HCT116 cells treated at the IC90 for 1 hours, replicate f
GSM386396	HCT116 cells treated at 3xIC90 for 6 hours, replicate c
GSM386423	HCT116 cells treated at the IC90 for 24 hours, replicate d
GSM386389	HCT116 cells treated at 3xIC90 for 24 hours, replicate e
GSM386388	HCT116 cells treated at 3xIC90 for 24 hours, replicate b
GSM386420	HCT116 cells treated at the IC90 for 1 hours, replicate e
GSM386430	HCT116 cells treated at the IC90 for 4 hours, replicate b
GSM386432	HCT116 cells treated at the IC90 for 4 hours, replicate e
GSM386395	HCT116 cells treated at 3xIC90 for 4 hours, replicate f
GSM386437	Untreated HCT116 cells, replicate d
GSM386419	HCT116 cells treated at the IC90 for 1 hours, replicate d
GSM386400	HCT116 cells treated at the IC50 for 1 hours, replicate d
GSM386427	HCT116 cells treated at the IC90 for 2 hours, replicate c
GSM386454	HCT116 cells treated with vehicle (DMSO) for 4 hours, replicate f
GSM386436	Untreated HCT116 cells, replicate b
GSM386426	HCT116 cells treated at the IC90 for 2 hours, replicate b
GSM386407	HCT116 cells treated at the IC50 for 2 hours, replicate d
GSM386431	HCT116 cells treated at the IC90 for 4 hours, replicate d
GSM386415	HCT116 cells treated at the IC50 for 6 hours, replicate c
GSM386442	HCT116 cells treated with vehicle (DMSO) for 1 hours, replicate f
GSM386458	HCT116 cells treated with vehicle (DMSO) for 6 hours, replicate f
GSM386413	HCT116 cells treated at the IC50 for 4 hours, replicate f
GSM386451	HCT116 cells treated with vehicle (DMSO) for 4 hours, replicate a
GSM386447	HCT116 cells treated with vehicle (DMSO) for 2 hours, replicate a
GSM386456	HCT116 cells treated with vehicle (DMSO) for 6 hours, replicate c
GSM386438	Untreated HCT116 cells, replicate e
GSM386457	HCT116 cells treated with vehicle (DMSO) for 6 hours, replicate e
GSM386392	HCT116 cells treated at 3xIC90 for 2 hours, replicate e
GSM386429	HCT116 cells treated at the IC90 for 4 hours, replicate a
GSM386446	HCT116 cells treated with vehicle (DMSO) for 24 hours, replicate f
GSM386448	HCT116 cells treated with vehicle (DMSO) for 2 hours, replicate b
GSM386393	HCT116 cells treated at 3xIC90 for 4 hours, replicate b
GSM386449	HCT116 cells treated with vehicle (DMSO) for 2 hours, replicate d
GSM386445	HCT116 cells treated with vehicle (DMSO) for 24 hours, replicate d
GSM386424	HCT116 cells treated at the IC90 for 24 hours, replicate e
GSM386441	HCT116 cells treated with vehicle (DMSO) for 1 hours, replicate e
GSM386453	HCT116 cells treated with vehicle (DMSO) for 4 hours, replicate e
GSM386410	HCT116 cells treated at the IC50 for 4 hours, replicate a
GSM386391	HCT116 cells treated at 3xIC90 for 2 hours, replicate b
GSM386406	HCT116 cells treated at the IC50 for 2 hours, replicate c
GSM386444	HCT116 cells treated with vehicle (DMSO) for 24 hours, replicate c
GSM386418	HCT116 cells treated at the IC90 for 1 hours, replicate b
GSM386435	Untreated HCT116 cells, replicate a
GSM386411	HCT116 cells treated at the IC50 for 4 hours, replicate b
GSM386387	HCT116 cells treated at 3xIC90 for 1 hours, replicate f
GSM386405	HCT116 cells treated at the IC50 for 24 hours, replicate f
GSM386440	HCT116 cells treated with vehicle (DMSO) for 1 hours, replicate d
GSM386434	HCT116 cells treated at the IC90 for 6 hours, replicate d
GSM386452	HCT116 cells treated with vehicle (DMSO) for 4 hours, replicate c
GSM386412	HCT116 cells treated at the IC50 for 4 hours, replicate e
GSM386394	HCT116 cells treated at 3xIC90 for 4 hours, replicate c
GSM386416	HCT116 cells treated at the IC50 for 6 hours, replicate d
GSM386385	HCT116 cells treated at 3xIC90 for 1 hours, replicate a
GSM386417	HCT116 cells treated at the IC50 for 6 hours, replicate e
GSM386433	HCT116 cells treated at the IC90 for 6 hours, replicate b
GSM386401	HCT116 cells treated at the IC50 for 1 hours, replicate f
GSM386397	HCT116 cells treated at 3xIC90 for 6 hours, replicate d
GSM386439	HCT116 cells treated with vehicle (DMSO) for 1 hours, replicate b
GSM386422	HCT116 cells treated at the IC90 for 24 hours, replicate a
GSM386404	HCT116 cells treated at the IC50 for 24 hours, replicate e
GSM386390	HCT116 cells treated at 3xIC90 for 24 hours, replicate f
GSM386425	HCT116 cells treated at the IC90 for 24 hours, replicate f
GSM386399	HCT116 cells treated at the IC50 for 1 hours, replicate c
GSM386409	HCT116 cells treated at the IC50 for 2 hours, replicate f
GSM386414	HCT116 cells treated at the IC50 for 6 hours, replicate b
GSM386402	HCT116 cells treated at the IC50 for 24 hours, replicate c
GSM468381	Whole blood
GSM468328	Whole blood
GSM468358	Whole blood
GSM468333	Whole blood
GSM468336	Whole blood
GSM468337	Whole blood
GSM468360	Whole blood
GSM468396	Whole blood
GSM468324	Whole blood
GSM468398	Whole blood
GSM468353	Whole blood
GSM468397	Whole blood
GSM468321	Whole blood
GSM468351	Whole blood
GSM468325	Whole blood
GSM468371	Whole blood
GSM468339	Whole blood
GSM468357	Whole blood
GSM468348	Whole blood
GSM468372	Whole blood
GSM468352	Whole blood
GSM468343	Whole blood
GSM468349	Whole blood
GSM468390	Whole blood
GSM468394	Whole blood
GSM468326	Whole blood
GSM468384	Whole blood
GSM468322	Whole blood
GSM468365	Whole blood
GSM468332	Whole blood
GSM468386	Whole blood
GSM468334	Whole blood
GSM468329	Whole blood
GSM468344	Whole blood
GSM468377	Whole blood
GSM468338	Whole blood
GSM468331	Whole blood
GSM468392	Whole blood
GSM468341	Whole blood
GSM468367	Whole blood
GSM468393	Whole blood
GSM468330	Whole blood
GSM468361	Whole blood
GSM468356	Whole blood
GSM468359	Whole blood
GSM468350	Whole blood
GSM468379	Whole blood
GSM468374	Whole blood
GSM468373	Whole blood
GSM468340	Whole blood
GSM468369	Whole blood
GSM468346	Whole blood
GSM468382	Whole blood
GSM468327	Whole blood
GSM468354	Whole blood
GSM468363	Whole blood
GSM468395	Whole blood
GSM468391	Whole blood
GSM468380	Whole blood
GSM468342	Whole blood
GSM468385	Whole blood
GSM468320	Whole blood
GSM468376	Whole blood
GSM468388	Whole blood
GSM468362	Whole blood
GSM468364	Whole blood
GSM468387	Whole blood
GSM468355	Whole blood
GSM468366	Whole blood
GSM468399	Whole blood
GSM468323	Whole blood
GSM468383	Whole blood
GSM468347	Whole blood
GSM468370	Whole blood
GSM468345	Whole blood
GSM468378	Whole blood
GSM468389	Whole blood
GSM468375	Whole blood
GSM468335	Whole blood
GSM468368	Whole blood
GSM175778	Female - caucasian - N-04-M
GSM175775	Female - caucasian - E-08-G
GSM175767	Female - caucasian - E-02-M
GSM175784	Female - caucasian - N-06-G
GSM175768	Female - caucasian - E-04-M
GSM175785	Female - caucasian - N-08-G
GSM175769	Female - caucasian - E-05-M
GSM175770	Female - caucasian - E-06-M
GSM175772	Female - caucasian - E-03-G
GSM175776	Female - caucasian - N-01-M
GSM175777	Female - caucasian - N-02-M
GSM175780	Female - caucasian - N-06-M
GSM175782	Female - caucasian - N-03-G
GSM175779	Female - caucasian - N-05-M
GSM175774	Female - caucasian - E-06-G
GSM175781	Female - caucasian - N-02-G
GSM175773	Female - caucasian - E-05-G
GSM175766	Female - caucasian - E-01-M
GSM175771	Female - caucasian - E-02-G
GSM175783	Female - caucasian - N-05-G
GSM365139	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365159	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365141	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365144	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365129	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365136	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365113	Primary T-ALL cells; newly diagnosed patient; no response (induction failure)
GSM365151	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365137	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365155	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365156	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365130	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365152	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365146	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365120	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365117	Primary T-ALL cells; newly diagnosed patient; no response (induction failure)
GSM365158	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365142	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365121	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365133	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365148	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365118	Primary T-ALL cells; newly diagnosed patient; no response (induction failure)
GSM365124	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365127	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365125	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365145	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365116	Primary T-ALL cells; newly diagnosed patient; no response (induction failure)
GSM365126	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365123	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365153	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365135	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365157	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365161	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365140	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365160	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365143	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365162	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365150	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365128	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365119	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365154	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365131	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365138	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365134	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365115	Primary T-ALL cells; newly diagnosed patient; no response (induction failure)
GSM365149	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365114	Primary T-ALL cells; newly diagnosed patient; no response (induction failure)
GSM365132	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM365147	Primary T-ALL cells; newly diagnosed patient; Complete Continous Remission
GSM365122	Primary T-ALL cells; newly diagnosed patient; failure (relapse)
GSM316000	19-20 weeks' gestation human retina, surround biopsy (remaining retina after macula and nasal biopsies)
GSM315999	19-20 weeks' gestation human retina, surround biopsy (remaining retina after macula and nasal biopsies)
GSM315993	19-20 weeks' gestation human retina, nasal biopsy
GSM315996	19-20 weeks' gestation human retina, nasal biopsy
GSM315994	19-20 weeks' gestation human retina, nasal biopsy
GSM315989	19-20 weeks' gestation human retina, macula biopsy
GSM315995	19-20 weeks' gestation human retina, nasal biopsy
GSM315990	19-20 weeks' gestation human retina, macula biopsy
GSM315991	19-20 weeks' gestation human retina, macula biopsy
GSM315998	19-20 weeks' gestation human retina, surround biopsy (remaining retina after macula and nasal biopsies)
GSM315992	19-20 weeks' gestation human retina, macula biopsy
GSM315997	19-20 weeks' gestation human retina, surround biopsy (remaining retina after macula and nasal biopsies)
GSM253930	MCF10A cells
GSM253931	MCF10A cells
GSM253934	MCF10A cells
GSM253932	MCF10A cells
GSM253933	MCF10A cells
GSM253929	MCF10A cells
GSM290426	
GSM290435	
GSM290439	
GSM290441	
GSM290433	
GSM290429	
GSM290436	
GSM290438	
GSM290431	
GSM290427	
GSM290432	
GSM290428	
GSM290440	
GSM290437	
GSM290434	
GSM290430	
GSM290442	
GSM290443	
GSM265509	Tesi, no Tax expressed
GSM265505	Tesi, Tax expressed
GSM265510	Tesi, no Tax expressed
GSM265507	Tesi, Tax expressed
GSM149947	breast epithelial cell, adherent, HRG, AG1478, 45min
GSM149930	breast epithelial cell, adherent, HRG, U0126, 10min
GSM149925	breast epithelial cell, adherent, U0126, 30min
GSM149922	breast epithelial cell, adherent, U0126, 5min
GSM149917	breast epithelial cell, adherent, HRG, 15min
GSM149929	breast epithelial cell, adherent, HRG, U0126, 5min
GSM149918	breast epithelial cell, adherent, HRG, 30min
GSM149938	breast epithelial cell, adherent, AG1478, 15min
GSM149915	breast epithelial cell, adherent, HRG, 5min
GSM149933	breast epithelial cell, adherent, HRG, U0126, 45min
GSM149921	breast epithelial cell, adherent, HRG, 90min
GSM149942	breast epithelial cell, adherent, AG1478, 90min
GSM149924	breast epithelial cell, adherent, U0126, 15min
GSM149949	breast epithelial cell, adherent, HRG, AG1478, 90min
GSM149914	breast epithelial cell, adherent, without stimulus, control for AG1478
GSM149923	breast epithelial cell, adherent, U0126, 10min
GSM149944	breast epithelial cell, adherent, HRG, AG1478, 10min
GSM149941	breast epithelial cell, adherent, AG1478, 60min
GSM149927	breast epithelial cell, adherent, U0126, 60min
GSM149926	breast epithelial cell, adherent, U0126, 45min
GSM149948	breast epithelial cell, adherent, HRG, AG1478, 60min
GSM149939	breast epithelial cell, adherent, AG1478, 30min
GSM149931	breast epithelial cell, adherent, HRG, U0126, 15min
GSM149945	breast epithelial cell, adherent, HRG, AG1478, 15min
GSM149934	breast epithelial cell, adherent, HRG, U0126, 60min
GSM149916	breast epithelial cell, adherent, HRG, 10min
GSM149940	breast epithelial cell, adherent, AG1478, 45min
GSM149913	breast epithelial cell, adherent, without stimulus, control for U0126
GSM149943	breast epithelial cell, adherent, HRG, AG1478, 5min
GSM149935	breast epithelial cell, adherent, HRG, U0126, 90min
GSM149919	breast epithelial cell, adherent, HRG, 45min
GSM149932	breast epithelial cell, adherent, HRG, U0126, 30min
GSM149920	breast epithelial cell, adherent, HRG, 60min
GSM149928	breast epithelial cell, adherent, U0126, 90min
GSM149937	breast epithelial cell, adherent, AG1478, 10min
GSM149936	breast epithelial cell, adherent, AG1478, 5min
GSM348320	fetal mesenchymal stem cells (fMSC) total RNA
GSM348306	fetal mesenchymal stem cells (fMSC) total RNA
GSM348305	fetal mesenchymal stem cells (fMSC) total RNA
GSM348304	fetal mesenchymal stem cells (fMSC) total RNA
GSM348321	fetal mesenchymal stem cells (fMSC) total RNA
GSM348308	fetal mesenchymal stem cells (fMSC) total RNA
GSM346543	fetal mesenchymal stem cells (fMSC) total RNA
GSM348307	fetal mesenchymal stem cells (fMSC) total RNA
GSM348319	fetal mesenchymal stem cells (fMSC) total RNA
GSM257190	CD8+ CCR7- NKp80- T cells pooled from 6 healthy donors
GSM257187	CD8+ CCR7- NKp80+ T cells pooled from 6 healthy donors
GSM432209	Mock-infected Calu-3 subclone 2B4 at 24 hours post infection #3
GSM432400	DOHV-infected (MOI=0.1) Calu-3 subclone 2B4 at 24 hours post infection #3
GSM432212	Mock-infected Calu-3 subclone 2B4 at 48 hours post infection #3
GSM432210	Mock-infected Calu-3 subclone 2B4 at 48 hours post infection #1
GSM432032	Mock-infected Calu-3 subclone 2B4 at 12 hours post infection #3
GSM432397	DOHV-infected (MOI=0.1) Calu-3 subclone 2B4 at 12 hours post infection #3
GSM432031	Mock-infected Calu-3 subclone 2B4 at 12 hours post infection #2
GSM432394	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 48 hours post infection #3
GSM432395	DOHV-infected (MOI=0.1) Calu-3 subclone 2B4 at 12 hours post infection #1
GSM432332	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 24 hours post infection #1
GSM432211	Mock-infected Calu-3 subclone 2B4 at 48 hours post infection #2
GSM432333	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 24 hours post infection #2
GSM432241	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 12 hours post infection #2
GSM432399	DOHV-infected (MOI=0.1) Calu-3 subclone 2B4 at 24 hours post infection #2
GSM432331	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 12 hours post infection #3
GSM432033	Mock-infected Calu-3 subclone 2B4 at 24 hours post infection #1
GSM432396	DOHV-infected (MOI=0.1) Calu-3 subclone 2B4 at 12 hours post infection #2
GSM432393	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 48 hours post infection #2
GSM432361	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 48 hours post infection #1
GSM432415	DOHV-infected (MOI=0.1) Calu-3 subclone 2B4 at 48 hours post infection #２
GSM432360	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 24 hours post infection #3
GSM432030	Mock-infected Calu-3 subclone 2B4 at 12 hours post infection #1
GSM432414	DOHV-infected (MOI=0.1) Calu-3 subclone 2B4 at 48 hours post infection #1
GSM432213	SARS-CoV-infected (MOI=0.1) Calu-3 subclone 2B4 at 12 hours post infection #1
GSM432416	DOHV-infected (MOI=0.1) Calu-3 subclone 2B4 at 48 hours post infection #3
